source_file,time,Unnamed: 0,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,RmCo2,AirflowSpRht,SuplFanCmd,SuplFanState,Cooling_Stg_Cmd,Heating_Stg_Cmd
MM.csv,2025-01-27 14:30:00,0,447.085,0.0,51.0,61.51,449.2,0.0,70.0,0.0,74.0,0.0,70.0,72.0,71.1,0.0,67.0,69.0,85.0,68.0,,,,,,
C.csv,2025-01-27 14:30:00,0,603.885,0.0,56.0,90.905,608.12,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.715,,67.0,69.0,68.0,68.0,0.0,,,,,
BB.csv,2025-01-27 14:30:00,0,1184.45,0.0,91.25,97.405,1167.505,0.0,70.0,95.4,74.0,0.0,70.0,72.0,70.16999999999999,,84.0,69.0,85.0,68.0,0.0,1199.29,1.0,-1.0,,
T.csv,2025-01-27 14:30:00,0,727.835,0.0,86.0,60.52,720.42,0.0,70.0,100.0,74.0,0.0,70.0,0.0,66.36500000000001,0.0,67.0,69.0,68.0,68.0,,,,,,
U.csv,2025-01-27 14:30:00,0,150.44,0.0,6.5,82.285,152.56,0.0,68.0,70.19,74.0,0.0,70.0,0.0,67.625,0.0,67.0,69.0,68.0,68.0,530.5,,,,,
B.csv,2025-01-27 14:30:00,0,905.825,0.0,96.25,60.89,900.52,0.0,70.0,100.0,73.99,0.0,70.0,72.0,66.94999999999999,,66.97,68.99,68.0,68.0,491.0,,,,,
LL.csv,2025-01-27 14:30:00,0,78.4,20.145,30.75,61.540000000000006,78.4,0.0,70.0,0.0,70.0,0.0,70.0,70.0,69.965,0.0,67.0,69.0,75.0,55.0,,,,,,
Q.csv,2025-01-27 14:30:00,0,760.675,0.0,69.75,61.510000000000005,775.51,0.0,66.99,0.0,74.0,0.0,70.0,0.0,68.2,0.0,84.0,69.0,85.0,68.0,534.0,,,,,
CC.csv,2025-01-27 14:30:00,0,1072.155,0.0,100.0,99.625,1103.935,0.0,70.0,87.32,74.0,0.0,70.0,72.0,70.15,,67.0,69.0,68.0,68.0,0.0,1199.29,1.0,-1.0,,
F.csv,2025-01-27 14:30:00,0,381.4,0.0,9.5,72.875,375.04,0.0,70.0,38.905,74.0,0.0,70.0,72.0,70.05,,67.0,69.0,78.0,62.0,,,,,,
G.csv,2025-01-27 14:30:00,0,117.6,0.0,84.25,61.45,122.9,0.0,70.0,0.0,74.0,0.0,70.0,72.0,70.67,,67.0,69.0,68.0,68.0,,,,,,
P.csv,2025-01-27 14:30:00,0,543.49,0.0,38.5,85.96000000000001,538.2,0.0,82.99,100.0,74.0,0.0,70.0,0.0,72.125,0.0,67.0,69.0,85.0,68.0,,,,,,
R.csv,2025-01-27 14:30:00,0,642.02,0.0,44.5,94.83,650.5,0.0,77.99,100.0,74.0,0.0,70.0,0.0,68.46000000000001,0.0,67.0,69.0,85.0,68.0,640.0,,,,,
E.csv,2025-01-27 14:30:00,0,355.97,0.0,96.0,74.185,360.21,0.0,70.0,44.44,74.0,0.0,70.0,72.0,70.11500000000001,,67.0,69.0,68.0,68.0,475.0,,,,,
D.csv,2025-01-27 14:30:00,0,836.96,0.0,97.5,87.97,832.72,0.0,70.0,91.95,74.0,0.0,70.0,72.0,70.105,,67.0,69.0,68.0,68.0,529.5,,,,,
S.csv,2025-01-27 14:30:00,0,400.47,0.0,47.25,61.825,400.47,0.0,70.0,0.0,74.0,0.0,70.0,0.0,68.35,0.0,67.0,69.0,85.0,68.0,,,,,,
PP.csv,2025-01-27 14:30:00,0,63.57,0.0,13.5,97.07,63.57,0.0,73.99,63.885,74.0,0.0,70.0,0.0,75.23,0.0,67.0,69.0,85.0,55.0,,,,,,
JJ.csv,2025-01-27 14:30:00,0,868.74,0.0,100.0,74.455,1199.29,0.0,70.0,100.0,74.0,0.0,70.0,72.0,65.77,,67.0,69.0,85.0,55.0,0.0,,1.0,-1.0,,
