time,AirFlow,Air_Flow_Diff,AirflowSpRht,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-28 19:30:00,792.46,-322.07000000000005,,0.0,100.0,65.78333333333335,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.32666666666667,-1.6899999999999977,,67.0,69.0,68.0,68.0,,
2025-01-28 19:45:00,795.9933333333333,-300.8800000000001,,0.0,100.0,65.71,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.45,-1.6800000000000068,,67.0,69.0,68.0,68.0,,
2025-01-28 20:00:00,812.2366666666667,-303.0000000000001,,0.0,100.0,65.90666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.48666666666666,-1.5300000000000011,,67.0,69.0,68.0,68.0,,
2025-01-28 20:15:00,863.0933333333334,-303.0000000000001,,0.0,100.0,65.88666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.59333333333333,-1.480000000000004,,67.0,69.0,68.0,68.0,,
2025-01-28 20:30:00,897.6999999999999,-230.95000000000005,,0.0,100.0,65.55,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.61,-1.3900000000000006,,67.0,69.0,68.0,68.0,,
2025-01-28 20:45:00,906.88,-205.5300000000001,,0.0,100.0,65.58999999999999,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.63,-1.3900000000000006,,67.0,69.0,68.0,68.0,,
2025-01-28 21:00:00,921.7133333333335,-207.6500000000001,,0.0,100.0,65.61333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.7,-1.3499999999999943,,67.0,69.0,68.0,68.0,,
2025-01-28 21:15:00,947.8433333333332,-180.10000000000002,,0.0,100.0,65.54,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.72,-1.2999999999999972,,67.0,69.0,68.0,68.0,,
2025-01-28 21:30:00,976.0966666666667,-156.79000000000008,,0.0,100.0,65.5,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.72,-1.2800000000000011,,67.0,69.0,68.0,68.0,,
2025-01-28 21:45:00,966.21,-122.8900000000001,,0.0,100.0,65.44,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.73333333333333,-1.2800000000000011,,67.0,69.0,68.0,68.0,,
2025-01-28 22:00:00,971.8566666666666,-135.60000000000002,,0.0,100.0,65.44333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.73333333333333,-1.2800000000000011,,67.0,69.0,68.0,68.0,,
2025-01-28 22:15:00,969.7400000000001,-131.37000000000012,,0.0,100.0,65.34666666666666,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.72,-1.2800000000000011,,67.0,69.0,68.0,68.0,,
2025-01-28 22:30:00,971.15,-133.49000000000012,,0.0,100.0,65.19333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.62333333333333,-1.2800000000000011,,67.0,69.0,68.0,68.0,,
2025-01-28 22:45:00,964.0866666666667,-131.37000000000012,,0.0,100.0,64.96333333333332,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.62666666666667,-1.3900000000000006,,67.0,69.0,68.0,68.0,,
2025-01-28 23:00:00,930.8966666666666,-150.44000000000005,,0.0,100.0,64.64333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.42,-1.4200000000000017,,67.0,69.0,68.0,68.0,,
2025-01-28 23:15:00,901.23,-190.69000000000005,,0.0,100.0,64.48,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.27666666666666,-1.6599999999999966,,67.0,69.0,68.0,68.0,,
2025-01-28 23:30:00,870.1533333333333,-220.36000000000013,,0.0,100.0,64.27333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.2,-1.7999999999999972,,67.0,69.0,68.0,68.0,,
2025-01-28 23:45:00,857.4399999999999,-241.55000000000007,,0.0,100.0,64.16333333333334,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.25333333333333,-1.7999999999999972,,67.0,69.0,68.0,68.0,,
2025-01-29 00:00:00,856.0266666666666,-254.2600000000001,,0.0,100.0,63.93666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.32666666666667,-1.6899999999999977,,67.0,69.0,68.0,68.0,,
2025-01-29 00:15:00,851.0833333333334,-250.0200000000001,,0.0,100.0,63.60999999999999,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.45,-1.6599999999999966,,67.0,69.0,68.0,68.0,,
2025-01-29 00:30:00,851.0833333333334,-247.9000000000001,,0.0,100.0,63.47333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.55666666666667,-1.5300000000000011,,67.0,69.0,68.0,68.0,,
2025-01-29 00:45:00,858.1466666666666,-252.1400000000001,,0.0,100.0,63.326666666666675,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.73333333333333,-1.4099999999999966,,67.0,69.0,68.0,68.0,,
2025-01-29 01:00:00,844.02,-260.6200000000001,,0.0,100.0,63.23,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.84666666666666,-1.2600000000000051,,67.0,69.0,68.0,68.0,,
2025-01-29 01:15:00,853.2033333333334,-260.6200000000001,,0.0,100.0,63.083333333333336,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.95,-1.1200000000000045,,67.0,69.0,68.0,68.0,,
2025-01-29 01:30:00,849.67,-252.1400000000001,,0.0,100.0,63.01,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.96666666666665,-0.9899999999999949,,67.0,69.0,68.0,68.0,,
2025-01-29 01:45:00,842.6066666666666,-262.7400000000001,,0.0,100.0,62.98,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.96666666666665,-1.0100000000000051,,67.0,69.0,68.0,68.0,,
2025-01-29 02:00:00,828.48,-264.8600000000001,,0.0,100.0,62.94,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.91,-1.0300000000000011,,67.0,69.0,68.0,68.0,,
2025-01-29 02:15:00,818.5933333333332,-279.69000000000005,,0.0,100.0,63.10333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.88,-1.1200000000000045,,67.0,69.0,68.0,68.0,,
2025-01-29 02:30:00,810.8233333333334,-303.0000000000001,,0.0,100.0,63.13666666666666,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.88,-1.1200000000000045,,67.0,69.0,68.0,68.0,,
2025-01-29 02:45:00,828.4833333333332,-283.93000000000006,,0.0,100.0,63.083333333333336,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.87333333333333,-1.1200000000000045,,67.0,69.0,68.0,68.0,,
2025-01-29 03:00:00,817.8866666666667,-292.4000000000001,,0.0,100.0,63.03333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.81333333333333,-1.1200000000000045,,67.0,69.0,68.0,68.0,,
2025-01-29 03:15:00,820.71,-292.4000000000001,,0.0,100.0,63.053333333333335,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.75333333333333,-1.2600000000000051,,67.0,69.0,68.0,68.0,,
2025-01-29 03:30:00,812.2366666666667,-277.57000000000005,,0.0,100.0,63.21,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.74,-1.2600000000000051,,67.0,69.0,68.0,68.0,,
2025-01-29 03:45:00,805.1733333333333,-288.1600000000001,,0.0,100.0,63.20666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.72,-1.2600000000000051,,67.0,69.0,68.0,68.0,,
2025-01-29 04:00:00,808.7033333333334,-296.6400000000001,,0.0,100.0,63.22333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.64,-1.2800000000000011,,67.0,69.0,68.0,68.0,,
2025-01-29 04:15:00,807.29,-298.7600000000001,,0.0,100.0,63.166666666666664,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.60333333333334,-1.3900000000000006,,67.0,69.0,68.0,68.0,,
2025-01-29 04:30:00,811.5300000000001,-303.0000000000001,,0.0,100.0,63.10333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.60000000000001,-1.3900000000000006,,67.0,69.0,68.0,68.0,,
2025-01-29 04:45:00,806.59,-292.4000000000001,,0.0,100.0,63.11333333333334,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.46333333333332,-1.4200000000000017,,67.0,69.0,68.0,68.0,,
2025-01-29 05:00:00,793.1666666666666,-305.1100000000001,,0.0,100.0,63.20666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.44333333333334,-1.5499999999999972,,67.0,69.0,68.0,68.0,,
2025-01-29 05:15:00,782.5733333333334,-305.1100000000001,,0.0,100.0,63.343333333333334,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.45666666666666,-1.5699999999999932,,67.0,69.0,68.0,68.0,,
2025-01-29 05:30:00,767.0333333333333,-343.2500000000001,,0.0,100.0,63.44,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.46333333333332,-1.5300000000000011,,67.0,69.0,68.0,68.0,,
2025-01-29 05:45:00,772.6866666666666,-353.85,,0.0,100.0,63.32,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.41333333333334,-1.5300000000000011,,67.0,69.0,68.0,68.0,,
2025-01-29 06:00:00,762.09,-324.18000000000006,,0.0,100.0,63.333333333333336,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.38333333333334,-1.6400000000000006,,67.0,69.0,68.0,68.0,,
2025-01-29 06:15:00,718.3000000000001,-368.68000000000006,,0.0,100.0,63.68333333333334,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.45,-1.5900000000000034,,67.0,69.0,68.0,68.0,,
2025-01-29 06:30:00,728.8933333333333,-402.58000000000004,,0.0,100.0,64.01666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.47,-1.5300000000000011,,67.0,69.0,68.0,68.0,,
2025-01-29 06:45:00,721.1266666666667,-387.7500000000001,,0.0,100.0,64.04,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.45,-1.5300000000000011,,67.0,69.0,68.0,68.0,,
2025-01-29 07:00:00,734.5466666666666,-387.7500000000001,,0.0,100.0,64.01666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,68.44333333333334,-1.5699999999999932,,67.0,69.0,68.0,68.0,,
