time,AirFlow,Air_Flow_Diff,ClgPct,Cooling_Stg_Cmd,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,Heating_Stg_Cmd,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-03-11 00:45:00,395.52333333333337,-2.1200000000000045,0.0,2.0,37.0,59.84,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.70333333333333,,,67.0,69.0,,,1.0300000000000011,0.0
2025-03-11 01:00:00,401.88000000000005,8.46999999999997,0.0,2.0,37.5,59.839999999999996,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.66666666666667,,,67.0,69.0,,,1.0700000000000003,0.0
2025-03-11 01:15:00,399.0566666666667,4.239999999999952,0.0,2.0,37.5,59.870000000000005,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.6,,,67.0,69.0,,,0.990000000000002,0.0
2025-03-11 01:30:00,393.4066666666667,-2.1200000000000045,0.0,2.0,37.833333333333336,59.84,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.65666666666667,,,67.0,69.0,,,1.0500000000000043,0.0
2025-03-11 01:45:00,396.23,-10.600000000000023,0.0,2.0,38.0,59.74333333333333,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.67333333333333,,,67.0,69.0,,,1.0,0.0
2025-03-11 02:00:00,402.58666666666664,10.589999999999975,0.0,2.0,38.0,59.57666666666666,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.6,,,67.0,69.0,,,1.0700000000000003,0.0
2025-03-11 02:15:00,398.34999999999997,-8.480000000000018,0.0,2.0,38.0,59.46,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.64333333333333,,,67.0,69.0,,,1.1000000000000014,0.0
2025-03-11 02:30:00,406.1166666666666,0.0,0.0,2.0,38.166666666666664,59.526666666666664,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.72333333333333,,,67.0,69.0,,,1.1099999999999994,0.0
2025-03-11 02:45:00,406.1166666666666,6.349999999999966,0.0,2.0,38.166666666666664,59.583333333333336,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.75333333333333,,,67.0,69.0,,,1.2299999999999969,0.0
2025-03-11 03:00:00,393.4066666666667,-14.830000000000041,0.0,2.0,38.5,59.553333333333335,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.71666666666665,,,67.0,69.0,,,1.0800000000000054,0.0
2025-03-11 03:15:00,393.40333333333336,-4.240000000000009,0.0,2.0,38.333333333333336,59.156666666666666,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.70333333333333,,,67.0,69.0,,,1.1700000000000017,0.0
2025-03-11 03:30:00,405.41,0.0,0.0,2.0,38.333333333333336,65.48,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.83666666666666,,,67.0,69.0,,,1.9699999999999989,0.0
2025-03-11 03:45:00,392.7,-12.710000000000036,0.0,2.0,38.166666666666664,60.156666666666666,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.92999999999999,,,67.0,69.0,,,0.7099999999999937,0.0
2025-03-11 04:00:00,396.93666666666667,-6.360000000000014,0.0,2.0,38.333333333333336,59.23333333333333,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.85333333333334,,,67.0,69.0,,,1.2199999999999989,0.0
2025-03-11 04:15:00,406.8233333333333,8.46999999999997,0.0,2.0,38.5,64.23333333333333,400.47,0.0,70.0,2.0,0.0,,0.0,,,69.83666666666666,,,67.0,69.0,,,1.1799999999999997,0.0
2025-03-11 04:30:00,401.8833333333334,-12.710000000000036,0.9166666666666666,2.0,38.666666666666664,63.056666666666665,406.12000000000006,0.0,70.0,2.0,0.0,,0.0,,,70.01,,,67.0,69.0,,,1.3499999999999943,0.0
2025-03-11 04:45:00,416.71000000000004,-6.360000000000014,2.99,2.0,39.333333333333336,66.14666666666666,418.1266666666667,0.0,70.0,2.0,0.0,,0.0,,,70.07000000000001,,,67.0,69.0,,,1.6400000000000006,0.0
2025-03-11 05:00:00,448.49666666666667,2.1200000000000045,8.663333333333334,2.0,41.166666666666664,66.66333333333334,451.32,0.0,70.0,2.0,0.0,,0.0,,,70.2,,,67.0,69.0,,,2.430000000000007,0.0
2025-03-11 05:15:00,475.33666666666664,4.240000000000009,12.530000000000001,2.0,42.833333333333336,66.72333333333334,474.62999999999994,0.0,70.0,2.0,0.0,,0.0,,,70.27,,,67.0,69.0,,,2.469999999999999,0.0
2025-03-11 05:30:00,511.3566666666666,4.240000000000009,17.966666666666665,2.0,44.666666666666664,67.64666666666666,507.11999999999995,0.0,70.0,2.0,0.0,,0.0,,,70.35333333333334,,,67.0,69.0,,,2.490000000000009,0.0
2025-03-11 05:45:00,529.72,2.1200000000000045,21.61,2.0,46.333333333333336,64.36,529.72,0.0,70.0,2.0,0.0,,0.0,,,70.38,,,67.0,69.0,,,1.9199999999999875,0.0
2025-03-11 06:00:00,492.2866666666667,-4.239999999999952,16.033333333333335,3.0,45.166666666666664,64.59333333333333,497.23,0.0,70.0,2.0,0.0,,0.0,,,70.15333333333334,,,67.0,69.0,,,1.009999999999998,0.0
2025-03-11 06:15:00,485.2266666666667,2.1200000000000045,14.736666666666666,3.0,44.5,62.07,488.75666666666666,0.0,70.0,2.0,0.0,,0.0,,,70.08666666666666,,,67.0,69.0,,,-0.730000000000004,0.0
2025-03-11 06:30:00,489.4633333333333,10.600000000000023,14.583333333333334,2.0,44.666666666666664,64.75,485.93,0.0,70.0,2.0,0.0,,0.0,,,70.06333333333333,,,67.0,69.0,,,1.5600000000000023,0.0
2025-03-11 06:45:00,483.81333333333333,-6.350000000000023,13.799999999999999,3.0,44.5,62.02333333333333,482.3966666666667,0.0,70.0,2.0,0.0,,0.0,,,70.02,,,67.0,69.0,,,1.3400000000000034,0.0
2025-03-11 07:00:00,493.7,6.360000000000014,14.99,2.0,44.833333333333336,62.75,489.4633333333333,0.0,70.0,2.0,0.0,,0.0,,,70.04666666666667,,,67.0,69.0,,,1.4299999999999926,0.0
2025-03-11 07:15:00,467.56333333333333,-12.720000000000027,12.093333333333334,3.0,44.166666666666664,64.48333333333333,471.09999999999997,0.0,70.0,2.0,0.0,,0.0,,,69.95666666666666,,,67.0,69.0,,,1.4499999999999957,0.0
2025-03-11 07:30:00,483.81333333333333,-2.1200000000000045,13.006666666666666,3.0,44.833333333333336,62.32333333333333,480.28,0.0,70.0,2.0,0.0,,0.0,,,69.99666666666667,,,67.0,69.0,,,1.4399999999999977,0.0
2025-03-11 07:45:00,469.68666666666667,10.600000000000023,11.450000000000001,2.0,44.0,65.76666666666667,466.8566666666666,0.0,70.0,2.0,0.0,,0.0,,,69.94666666666666,,,67.0,69.0,,,1.8700000000000045,0.0
2025-03-11 08:00:00,485.22,8.470000000000027,13.096666666666666,3.0,45.333333333333336,61.74,478.8666666666666,0.0,70.0,2.0,0.0,,0.0,,,70.01,,,67.0,69.0,,,1.4500000000000028,0.0
2025-03-11 08:15:00,476.74666666666667,0.0,11.883333333333333,2.0,45.166666666666664,64.73666666666666,471.09666666666664,0.0,70.0,2.0,0.0,,0.0,,,69.97666666666667,,,67.0,69.0,,,1.3200000000000074,0.0
