time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,Room_Temperature_Diff,SaTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-28 16:00:00,485.93,,0.0,5.833333333333333,81.15666666666667,480.99,0.0,70.0,52.72666666666667,74.0,0.0,70.0,72.0,70.12,,,84.0,69.0,78.0,68.0,,
2025-01-28 16:15:00,477.4533333333334,,0.0,5.5,81.73,480.99,0.0,70.0,53.79666666666666,74.0,0.0,70.0,72.0,70.02,,,84.0,69.0,78.0,68.0,,
2025-01-28 16:30:00,481.6933333333333,,0.0,6.0,82.40666666666665,480.99,0.0,70.0,54.82,74.0,0.0,70.0,72.0,69.98,,,84.0,69.0,78.0,68.0,,
2025-01-28 16:45:00,473.92333333333335,,0.0,6.333333333333333,81.44333333333333,480.99,0.0,70.0,51.61666666666667,74.0,0.0,70.0,72.0,70.11,,,84.0,69.0,78.0,68.0,,
2025-01-28 17:00:00,480.28,,0.0,6.333333333333333,81.37333333333333,480.99,0.0,70.0,51.080000000000005,74.0,0.0,70.0,72.0,70.07666666666667,,,84.0,69.0,78.0,68.0,,
2025-01-28 17:15:00,481.6933333333333,,0.0,6.5,79.86,480.99,0.0,70.0,46.593333333333334,74.0,0.0,70.0,72.0,70.24333333333334,,,84.0,69.0,78.0,68.0,,
2025-01-28 17:30:00,480.28,,0.0,6.5,77.73,480.99,0.0,70.0,41.10666666666666,74.0,0.0,70.0,72.0,70.39,,,84.0,69.0,78.0,68.0,,
2025-01-28 17:45:00,477.45666666666665,,0.0,6.833333333333333,77.60000000000001,480.99,0.0,70.0,40.416666666666664,74.0,0.0,70.0,72.0,70.28666666666668,,,84.0,69.0,78.0,68.0,,
2025-01-28 18:00:00,479.5733333333333,,0.0,5.833333333333333,77.05333333333333,480.99,0.0,70.0,39.803333333333335,74.0,0.0,70.0,72.0,70.22666666666667,,,84.0,69.0,78.0,68.0,,
2025-01-28 18:15:00,484.51666666666665,,0.0,1.8333333333333333,73.17666666666666,480.99,0.0,70.0,36.36666666666667,74.0,0.0,70.0,72.0,70.28666666666668,,,84.0,69.0,78.0,68.0,,
2025-01-28 18:30:00,485.22333333333336,,0.0,2.8333333333333335,73.81666666666666,480.99,0.0,70.0,38.89666666666667,74.0,0.0,70.0,72.0,70.06333333333333,,,84.0,69.0,78.0,68.0,,
2025-01-28 18:45:00,484.51666666666665,,0.0,3.5,77.16666666666667,480.99,0.0,70.0,46.85666666666666,74.0,0.0,70.0,72.0,69.72666666666667,,,84.0,69.0,78.0,68.0,,
2025-01-28 19:00:00,466.15333333333336,,0.0,2.8333333333333335,78.51666666666667,480.99,0.0,70.0,48.776666666666664,74.0,0.0,70.0,72.0,69.74,,,84.0,69.0,78.0,68.0,,
2025-01-28 19:15:00,484.51666666666665,-16.960000000000036,0.0,1.8333333333333333,81.05,480.99,0.0,70.0,56.26333333333333,74.0,0.0,70.0,72.0,69.47,-0.29000000000000625,,84.0,69.0,78.0,68.0,,
2025-01-28 19:30:00,474.62999999999994,6.349999999999966,0.0,2.0,85.32666666666667,480.99,0.0,70.0,66.06,74.0,0.0,70.0,72.0,69.24333333333334,-0.6700000000000017,,84.0,69.0,78.0,68.0,,
2025-01-28 19:45:00,471.09666666666664,-4.240000000000009,0.0,2.5,87.71,480.99,0.0,70.0,72.03333333333335,74.0,0.0,70.0,72.0,69.25,-0.8499999999999943,,84.0,69.0,78.0,68.0,,
2025-01-28 20:00:00,477.4533333333334,-8.480000000000018,0.0,2.5,90.55666666666667,480.99,0.0,70.0,80.87666666666667,74.0,0.0,70.0,72.0,69.09,-0.7900000000000063,,84.0,69.0,78.0,68.0,,
2025-01-28 20:15:00,483.81333333333333,2.1100000000000136,0.0,1.8333333333333333,92.22666666666667,480.99,0.0,70.0,89.76666666666667,74.0,0.0,70.0,72.0,69.00666666666666,-0.9699999999999989,,84.0,69.0,78.0,68.0,,
