time,ClgPct,ClgStg02Cmd,EffRmSp,HtgPct,HtgStg01Cmd,HtgStg02Cmd,MixAirTemp,OccCmd,OccStatus,OutAirDmprFbk,OutAirHum,OutAirTemp,RmSp,RmTemp,SuplFanSpd,record_index
2025-01-28 22:30:00,0.0,1.0,68.2,0.0,1.0,1.0,64.43333333333334,1.0,1.0,0.0,29.33333333333333,57.86666666666667,70.0,67.8,100.0,52
2025-01-28 22:45:00,0.0,1.0,68.2,0.0,1.0,1.0,64.3,1.0,1.0,0.0,30.0,56.833333333333336,70.0,67.8,100.0,53
2025-01-28 23:00:00,0.0,1.0,68.2,0.0,1.0,1.0,64.3,1.0,1.0,0.0,30.33333333333333,56.29999999999999,70.0,67.66666666666667,100.0,54
2025-01-28 23:15:00,0.0,1.0,68.2,0.0,1.0,1.0,64.3,1.0,1.0,0.0,31.0,55.66666666666666,70.0,67.6,100.0,55
2025-01-28 23:30:00,0.0,1.0,68.2,0.0,1.0,1.0,64.23333333333333,1.0,1.0,0.0,31.0,55.6,70.0,67.6,100.0,56
2025-01-28 23:45:00,0.0,1.0,68.2,16.666666666666668,1.3333333333333333,1.0,64.13333333333334,1.0,1.0,0.0,31.666666666666668,55.03333333333333,70.0,67.56666666666666,100.0,57
2025-01-29 00:00:00,0.0,1.0,68.2,0.0,1.0,1.0,65.2,1.0,1.0,0.0,32.0,56.86666666666667,70.0,69.86666666666666,100.0,58
2025-01-29 00:15:00,0.0,1.0,68.2,0.0,1.0,1.0,64.43333333333334,1.0,1.0,0.0,32.0,56.16666666666666,70.0,68.43333333333334,100.0,59
2025-01-29 00:30:00,0.0,1.0,68.2,0.0,1.0,1.0,64.06666666666666,1.0,1.0,0.0,32.0,55.06666666666666,70.0,67.93333333333334,100.0,60
2025-01-29 00:45:00,0.0,1.0,68.2,0.0,1.0,1.0,64.5,1.0,1.0,0.0,32.0,54.56666666666666,70.0,68.2,100.0,61
2025-01-29 01:00:00,0.0,1.0,68.2,0.0,1.0,1.0,65.33333333333333,1.0,1.0,0.0,32.0,55.5,70.0,69.8,100.0,62
2025-01-29 01:15:00,0.0,1.0,68.2,0.0,1.0,1.0,64.53333333333333,1.0,1.0,0.0,32.666666666666664,54.7,70.0,68.43333333333334,100.0,63
2025-01-29 01:30:00,0.0,1.0,68.2,0.0,1.0,1.0,64.3,1.0,1.0,0.0,33.0,54.133333333333326,70.0,67.96666666666667,100.0,64
2025-01-29 01:45:00,0.0,1.0,68.2,0.0,1.0,1.0,64.26666666666667,1.0,1.0,0.0,33.0,53.6,70.0,67.9,100.0,65
2025-01-29 02:00:00,0.0,1.0,68.2,16.666666666666668,1.3333333333333333,1.0,64.2,1.0,1.0,0.0,33.0,53.8,70.0,67.83333333333333,100.0,66
2025-01-29 02:15:00,0.0,1.0,68.2,0.0,1.0,1.0,65.39999999999999,1.0,1.0,0.0,33.0,54.86666666666667,70.0,70.10000000000001,100.0,67
2025-01-29 02:30:00,0.0,1.0,68.2,0.0,1.0,1.0,64.46666666666665,1.0,1.0,0.0,33.0,54.2,70.0,68.36666666666666,100.0,68
2025-01-29 02:45:00,0.0,1.0,68.2,0.0,1.0,1.0,64.13333333333334,1.0,1.0,0.0,33.0,53.79999999999999,70.0,67.9,100.0,69
2025-01-29 03:00:00,0.0,1.0,68.2,0.0,1.0,1.0,64.23333333333333,1.0,1.0,0.0,33.666666666666664,53.4,70.0,68.2,100.0,70
2025-01-29 03:15:00,0.0,1.0,68.2,0.0,1.0,1.0,65.03333333333333,1.0,1.0,0.0,34.0,54.53333333333333,70.0,69.63333333333334,100.0,71
