time,BldgStaticPres,BldgStaticPresSp,ClgPct,ClgStgCmd01,ClgStgCmd02,EconEna,EconEnaSp,EffRmSp,EffSuplAirTempSp,ExhAirDmprFbk,ExhFanSpd,FltAlm,HtgAlm,HtgPct,HtgStgCmd01,HtgStgCmd02,OccCmd,OccStatus,OutAirDmprFbk,OutAirFlow,OutAirTemp,RmTemp,SuplAirHtgSp,SuplAirStaticPres,SuplAirTemp,SuplAirTempAlm,SuplAirTempSp,SuplFanAlm,SuplFanSpd,SuplFanStatus,SuplFanSts,UnoccClgSp,UnoccHtgSp,record_index
2025-01-28 16:00:00,-0.0133333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,42.03666666666667,68.64666666666666,100.0,0.33,63.35999999999999,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,26
2025-01-28 16:15:00,0.0066666666666666,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,42.79,68.73666666666666,100.0,0.3266666666666666,63.79333333333333,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,27
2025-01-28 16:30:00,-0.0033333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,43.85999999999999,68.85333333333334,100.0,0.3233333333333333,64.19333333333333,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,28
2025-01-28 16:45:00,0.0033333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,44.44333333333333,69.01333333333334,100.0,0.3233333333333333,64.49,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,29
2025-01-28 17:00:00,0.0133333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,45.06333333333333,69.13333333333334,100.0,0.3333333333333333,64.77,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,30
2025-01-28 17:15:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,46.126666666666665,69.17666666666666,100.0,0.32,65.18333333333334,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,31
2025-01-28 17:30:00,-0.0033333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,46.59,69.3,100.0,0.32,65.46333333333332,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,32
2025-01-28 17:45:00,-0.0233333333333333,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,47.6,69.39,100.0,0.3233333333333333,65.91000000000001,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,33
2025-01-28 18:00:00,0.0066666666666666,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,5000.0,48.153333333333336,69.51333333333334,100.0,0.3566666666666667,65.49,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,34
2025-01-28 18:15:00,0.0066666666666666,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,22.33333333333333,5000.0,48.333333333333336,69.25,100.0,0.4466666666666666,63.38,0.0,62.0,0.0,100.0,2.0,2.0,85.0,45.0,35
