time,BldgStaticPres,BldgStaticPresSp,ClgPct,ClgStgCmd01,ClgStgCmd02,EconEna,EconEnaSp,EffRmSp,EffSuplAirTempSp,ExhAirDmprFbk,ExhFanSpd,ExhFanStatus,FltAlm,HtgAlm,HtgPct,HtgStgCmd01,HtgStgCmd02,OccCmd,OccStatus,OutAirDmprFbk,OutAirFlow,OutAirTemp,RmTemp,SuplAirHtgSp,SuplAirStaticPres,SuplAirTemp,SuplAirTempAlm,SuplAirTempSp,SuplFanAlm,SuplFanSpd,SuplFanStatus,UnoccClgSp,UnoccHtgSp,record_index
2025-01-28 16:30:00,-0.0033333333333333,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3614.6666666666665,44.25333333333333,70.23333333333333,100.0,0.86,63.18333333333334,0.0,62.0,0.0,100.0,2.0,85.0,45.0,28
2025-01-28 16:45:00,-0.01,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3607.3333333333335,44.59333333333333,70.20333333333333,100.0,0.8766666666666666,63.38,0.0,62.0,0.0,100.0,2.0,85.0,45.0,29
2025-01-28 17:00:00,-0.0066666666666666,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3528.333333333333,45.47666666666667,70.27333333333333,100.0,0.8766666666666666,63.72,0.0,62.0,0.0,100.0,2.0,85.0,45.0,30
2025-01-28 17:15:00,0.0033333333333333,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3632.6666666666665,46.27,70.27666666666666,100.0,0.8733333333333334,64.02666666666667,0.0,62.0,0.0,100.0,2.0,85.0,45.0,31
2025-01-28 17:30:00,-0.0033333333333333,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3614.0,47.123333333333335,70.30333333333334,100.0,0.8533333333333334,64.42333333333333,0.0,62.0,0.0,100.0,2.0,85.0,45.0,32
2025-01-28 17:45:00,0.0,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3651.0,48.26333333333333,70.36666666666666,100.0,0.87,64.89999999999999,0.0,62.0,0.0,100.0,2.0,85.0,45.0,33
2025-01-28 18:00:00,-0.0033333333333333,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3548.333333333333,48.74,70.41333333333334,100.0,0.88,65.05333333333334,0.0,62.0,0.0,100.0,2.0,85.0,45.0,34
2025-01-28 18:15:00,-0.0166666666666666,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3603.3333333333335,49.79,70.41333333333334,100.0,0.8666666666666667,65.46666666666667,0.0,62.0,0.0,100.0,2.0,85.0,45.0,35
2025-01-28 18:30:00,0.0033333333333333,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3627.6666666666665,50.34666666666666,70.45666666666666,100.0,0.8966666666666666,65.87666666666667,0.0,62.0,0.0,100.0,2.0,85.0,45.0,36
2025-01-28 18:45:00,5.782411586589358e-19,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,3452.6666666666665,50.60333333333333,70.42666666666666,100.0,0.9366666666666666,65.92333333333333,0.0,62.0,0.0,100.0,2.0,85.0,45.0,37
2025-01-28 19:00:00,0.0166666666666666,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0,3504.333333333333,51.370000000000005,70.44666666666667,100.0,0.9333333333333332,66.22333333333334,0.0,62.0,0.0,100.0,2.0,85.0,45.0,38
2025-01-28 19:15:00,-0.0033333333333333,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,71.33333333333333,3495.6666666666665,52.23666666666666,70.47666666666667,100.0,0.9566666666666668,66.66,0.0,62.0,0.0,100.0,2.0,85.0,45.0,39
2025-01-28 19:30:00,0.01,0.05,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,3336.6666666666665,52.67333333333334,70.51333333333334,100.0,0.9966666666666668,66.83,0.0,62.0,0.0,100.0,2.0,85.0,45.0,40
2025-01-28 19:45:00,-0.02,0.05,0.0,1.0,1.0,3.0,75.0,52.0,61.333333333333336,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,3319.0,53.01333333333333,70.50666666666667,100.0,1.02,66.81666666666666,0.0,62.0,0.0,100.0,2.0,85.0,45.0,41
2025-01-28 20:00:00,-0.0166666666666666,0.05,0.0,1.0,1.0,3.0,75.0,52.0,61.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,3112.333333333333,53.27333333333333,70.56,100.0,1.05,67.04666666666667,0.0,62.0,0.0,100.0,2.0,85.0,45.0,42
2025-01-28 20:15:00,-0.02,0.05,0.0,1.0,1.0,3.0,75.0,52.0,61.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,3236.0,53.88999999999999,70.61333333333333,100.0,1.1233333333333333,67.23666666666666,0.0,62.0,0.0,100.0,2.0,85.0,45.0,43
2025-01-28 20:30:00,0.0066666666666666,0.05,0.0,1.0,1.0,3.0,75.0,52.0,61.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,3118.333333333333,54.26,70.58333333333333,100.0,1.1766666666666663,67.46333333333332,0.0,62.0,0.0,100.0,2.0,85.0,45.0,44
2025-01-28 20:45:00,0.03,0.05,0.0,1.0,1.0,3.0,75.0,52.0,61.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,3023.333333333333,54.56,70.50666666666666,100.0,1.2,67.50333333333333,0.0,62.0,0.0,100.0,2.0,85.0,45.0,45
