time,ClgPct,ClgStg01Cmd,ClgStg02Cmd,EffRmSp,ExhAirDmprFbk,HtgPct,HtgStg01Cmd,HtgStg02Cmd,MixAirTemp,OccCmd,OccStatus,OutAirDmprFbk,OutAirHum,OutAirTemp,RmSp,RmTemp,SuplFanSpd,SuplFanStatus,UnoccClgSp,UnoccHtgSp,oppMode
2025-01-28 04:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.6,1.0,1.0,0.0,29.333333333333332,44.76666666666667,70.0,69.26666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-28 04:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.3333333333333333,1.0,61.46666666666667,1.0,1.0,0.0,29.0,44.76666666666667,70.0,67.2,100.0,2.0,80.0,60.0,5.0
2025-01-28 05:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.73333333333333,1.0,1.0,0.0,29.666666666666668,44.43333333333334,70.0,69.23333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-28 05:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.76666666666667,1.0,1.0,0.0,29.0,44.43333333333334,70.0,67.53333333333335,100.0,2.0,80.0,60.0,5.0
2025-01-28 05:30:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.333333333333336,1.0,1.0,0.0,30.666666666666668,44.699999999999996,70.0,68.39999999999999,100.0,2.0,80.0,60.0,5.0
2025-01-28 05:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.13333333333333,1.0,1.0,0.0,30.333333333333332,45.300000000000004,70.0,68.10000000000001,100.0,2.0,80.0,60.0,5.0
2025-01-28 06:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.833333333333336,1.0,1.0,0.0,31.0,44.366666666666674,70.0,67.53333333333335,100.0,2.0,80.0,60.0,5.0
2025-01-28 06:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.4,1.0,1.0,0.0,32.0,45.26666666666667,70.0,68.86666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-28 06:30:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,61.300000000000004,1.0,1.0,0.0,32.0,44.03333333333333,70.0,67.10000000000001,100.0,2.0,80.0,60.0,5.0
2025-01-28 06:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.63333333333333,1.0,1.0,0.0,32.0,44.4,70.0,69.56666666666666,100.0,2.0,80.0,60.0,5.0
2025-01-28 07:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.333333333333336,1.0,1.0,0.0,32.333333333333336,43.76666666666667,70.0,67.3,100.0,2.0,80.0,60.0,5.0
2025-01-28 07:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.4,1.0,1.0,0.0,33.666666666666664,43.93333333333334,70.0,68.76666666666667,100.0,2.0,80.0,60.0,5.0
2025-01-28 07:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.46666666666667,1.0,1.0,0.0,33.0,43.76666666666667,70.0,67.43333333333334,100.0,2.0,80.0,60.0,5.0
2025-01-28 07:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.5,1.0,1.0,0.0,34.0,44.199999999999996,70.0,68.93333333333334,100.0,2.0,80.0,60.0,5.0
2025-01-28 08:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.6,1.0,1.0,0.0,34.0,44.73333333333333,70.0,67.43333333333334,100.0,2.0,80.0,60.0,5.0
2025-01-28 08:15:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,62.4,1.0,1.0,0.0,34.0,44.70000000000001,70.0,68.73333333333333,100.0,2.0,80.0,60.0,5.0
2025-01-28 08:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.86666666666667,1.0,1.0,0.0,34.0,45.166666666666664,70.0,67.93333333333334,100.0,2.0,80.0,60.0,5.0
2025-01-28 08:45:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,61.699999999999996,1.0,1.0,0.0,34.333333333333336,44.53333333333333,70.0,67.3,100.0,2.0,80.0,60.0,5.0
2025-01-28 09:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.6,1.0,1.0,0.0,34.666666666666664,45.6,70.0,69.13333333333334,100.0,2.0,80.0,60.0,5.0
2025-01-28 09:15:00,0.0,1.0,1.0,68.2,52.0,16.666666666666668,1.3333333333333333,1.0,61.36666666666667,1.0,1.0,0.0,34.333333333333336,45.166666666666664,70.0,67.10000000000001,100.0,2.0,80.0,60.0,5.0
2025-01-28 09:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.699999999999996,1.0,1.0,0.0,35.333333333333336,45.76666666666667,70.0,69.5,100.0,2.0,80.0,60.0,5.0
