time,BldgStaticPres,BldgStaticPresSp,ClgPct,ClgStgCmd01,ClgStgCmd02,EconEna,EconEnaSp,EffRmSp,EffSuplAirTempSp,ExhAirDmprFbk,ExhFanSpd,FltAlm,HtgAlm,HtgPct,HtgStgCmd01,HtgStgCmd02,OccCmd,OccStatus,OutAirDmprFbk,OutAirFlow,OutAirTemp,RmTemp,SuplAirHtgSp,SuplAirStaticPres,SuplAirTemp,SuplAirTempAlm,SuplAirTempSp,SuplFanAlm,SuplFanSpd,SuplFanStatus,SuplFanSts,UnoccClgSp,UnoccHtgSp,oppMode
2025-02-10 16:30:00,-0.01,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,37.04333333333333,68.01,100.0,0.35333333333333333,60.949999999999996,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 16:45:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,37.67333333333334,68.15333333333334,100.0,0.35333333333333333,61.29,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 17:00:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,37.92666666666667,68.25666666666666,100.0,0.35000000000000003,61.47333333333333,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 17:15:00,0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,37.99,68.31,100.0,0.35666666666666663,61.48666666666667,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 17:30:00,0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,38.196666666666665,68.4,100.0,0.3633333333333333,61.61666666666667,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 17:45:00,-0.01,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.443333333333335,68.55666666666667,100.0,0.35333333333333333,62.21333333333333,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 18:00:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,39.72,68.64333333333333,100.0,0.35333333333333333,62.31666666666666,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 18:15:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.29,68.73333333333333,100.0,0.35666666666666663,62.589999999999996,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 18:30:00,-0.006666666666666667,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,40.97,68.78000000000002,100.0,0.36000000000000004,62.916666666666664,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 18:45:00,0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,41.583333333333336,68.86666666666666,100.0,0.3666666666666667,63.126666666666665,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 19:00:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,41.943333333333335,68.89999999999999,100.0,0.35666666666666663,63.26,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 19:15:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,42.56,68.94,100.0,0.35000000000000003,63.556666666666665,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 19:30:00,0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,43.050000000000004,69.06,100.0,0.3633333333333333,63.81666666666666,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 19:45:00,0.0,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,43.156666666666666,69.03666666666668,100.0,0.35666666666666663,63.85666666666666,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 20:00:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,43.61666666666667,69.03333333333333,100.0,0.3466666666666667,63.89000000000001,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 20:15:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,43.76333333333333,69.01333333333334,100.0,0.36000000000000004,63.9,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 20:30:00,-0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,44.083333333333336,69.04333333333334,100.0,0.36999999999999994,64.08,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 20:45:00,0.006666666666666667,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,44.54,69.09666666666668,100.0,0.3866666666666667,64.22333333333334,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
2025-02-10 21:00:00,0.0033333333333333335,0.08,0.0,1.0,1.0,3.0,75.0,52.0,62.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5000.0,44.75,69.06666666666666,100.0,0.4000000000000001,64.23666666666666,0.0,,0.0,100.0,2.0,2.0,85.0,45.0,5.0
