,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,SaTemp,StbyClgSp,StbyHtgSp,SuplFanCmd,SuplFanState,UnoccClgSp,UnoccHtgSp,oppMode
56,2025-01-28 18:30:00,777.63,0.0,100.0,81.64,1485.3333333333333,0.0,70.0,76.05666666666666,74.0,0.0,70.0,0.0,72.0,70.09666666666668,,67.0,69.0,1.0,-1.0,68.0,68.0,
57,2025-01-28 18:45:00,779.7466666666666,0.0,100.0,80.13333333333334,1471.2066666666667,0.0,70.0,74.86333333333333,74.0,0.0,70.0,0.0,72.0,70.11666666666667,,67.0,69.0,1.0,-1.0,68.0,68.0,
58,2025-01-28 19:00:00,781.8666666666667,0.0,100.0,79.49666666666667,1461.3233333333335,0.0,70.0,74.01,74.0,0.0,70.0,0.0,72.0,70.11,,67.0,69.0,1.0,-1.0,68.0,68.0,
59,2025-01-28 19:15:00,800.9366666666666,0.0,100.0,80.23333333333333,1469.7966666666669,0.0,70.0,74.36333333333333,74.0,0.0,70.0,0.0,72.0,70.04333333333334,,67.0,69.0,1.0,-1.0,68.0,68.0,
60,2025-01-28 19:30:00,821.4200000000001,0.0,100.0,80.89333333333333,1478.9799999999998,0.0,70.0,75.27666666666666,74.0,0.0,70.0,0.0,72.0,69.99333333333334,,67.0,69.0,1.0,-1.0,68.0,68.0,
61,2025-01-28 19:45:00,822.8333333333334,0.0,100.0,81.34666666666666,1482.513333333333,0.0,70.0,75.8,74.0,0.0,70.0,0.0,72.0,69.98,,67.0,69.0,1.0,-1.0,68.0,68.0,
62,2025-01-28 20:00:00,827.7766666666666,0.0,100.0,81.46333333333332,1488.8633333333337,0.0,70.0,76.39666666666666,74.0,0.0,70.0,0.0,72.0,69.96,,67.0,69.0,1.0,-1.0,68.0,68.0,
63,2025-01-28 20:15:00,850.3766666666667,0.0,100.0,81.33333333333333,1485.3333333333333,0.0,70.0,76.04,74.0,0.0,70.0,0.0,72.0,69.98,,67.0,69.0,1.0,-1.0,68.0,68.0,
64,2025-01-28 20:30:00,884.2800000000001,0.0,100.0,80.92999999999999,1505.8166666666666,0.0,70.0,77.86333333333333,74.0,0.0,70.0,0.0,72.0,69.91333333333334,,67.0,69.0,1.0,-1.0,68.0,68.0,
65,2025-01-28 20:45:00,883.5733333333334,0.0,100.0,80.85000000000001,1532.6566666666668,0.0,70.0,80.08333333333333,74.0,0.0,70.0,0.0,72.0,69.84,,67.0,69.0,1.0,-1.0,68.0,68.0,
66,2025-01-28 21:00:00,888.5166666666668,0.0,100.0,81.85666666666667,1543.9566666666667,0.0,70.0,80.95333333333333,74.0,0.0,70.0,0.0,72.0,69.84333333333333,,67.0,69.0,1.0,-1.0,68.0,68.0,
67,2025-01-28 21:15:00,898.4066666666666,0.0,100.0,81.57666666666667,1542.5466666666669,0.0,70.0,81.01333333333334,74.0,0.0,70.0,0.0,72.0,69.89666666666666,,67.0,69.0,1.0,-1.0,68.0,68.0,
68,2025-01-28 21:30:00,906.1733333333332,0.0,100.0,81.60666666666667,1550.3133333333335,0.0,70.0,81.62,74.0,0.0,70.0,0.0,72.0,69.89666666666666,,67.0,69.0,1.0,-1.0,68.0,68.0,
69,2025-01-28 21:45:00,903.3533333333334,0.0,100.0,82.67666666666666,1555.9633333333331,0.0,70.0,82.42333333333333,74.0,0.0,70.0,0.0,72.0,69.90666666666667,,67.0,69.0,1.0,-1.0,68.0,68.0,
70,2025-01-28 22:00:00,915.3566666666668,0.0,100.0,82.72,1553.14,0.0,70.0,81.83666666666666,74.0,0.0,70.0,0.0,72.0,69.93333333333334,,67.0,69.0,1.0,-1.0,68.0,68.0,
71,2025-01-28 22:15:00,910.41,0.0,100.0,82.64666666666666,1553.8466666666666,0.0,70.0,82.11999999999999,74.0,0.0,70.0,0.0,72.0,69.94,,67.0,69.0,1.0,-1.0,68.0,68.0,
72,2025-01-28 22:30:00,909.7066666666666,0.0,100.0,82.44,1587.746666666667,0.0,70.0,84.92,74.0,0.0,70.0,0.0,72.0,69.84333333333333,,67.0,69.0,1.0,-1.0,68.0,68.0,
