,time,AirFlow,ClgPct,Cooling_Stg_Cmd,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,Heating_Stg_Cmd,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,oppMode
88,2025-01-29 02:30:00,649.79,0.0,,45.5,100.60666666666668,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,442.3333333333333,0.0,71.07333333333334,,67.0,69.0,85.0,68.0,
89,2025-01-29 02:45:00,658.2633333333333,0.0,,45.5,100.46,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,443.0,0.0,71.08,,67.0,69.0,85.0,68.0,
90,2025-01-29 03:00:00,645.5533333333333,0.0,,45.5,100.55,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,423.3333333333333,0.0,71.00666666666666,,67.0,69.0,85.0,68.0,
91,2025-01-29 03:15:00,655.44,0.0,,45.16666666666666,100.42666666666666,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,420.0,0.0,70.97666666666667,,67.0,69.0,85.0,68.0,
92,2025-01-29 03:30:00,651.91,0.0,,45.333333333333336,100.59333333333332,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,454.6666666666667,0.0,71.07333333333334,,67.0,69.0,85.0,68.0,
93,2025-01-29 03:45:00,653.3233333333334,0.0,,45.333333333333336,100.63333333333333,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,456.3333333333333,0.0,71.0,,67.0,69.0,85.0,68.0,
94,2025-01-29 04:00:00,649.79,0.0,,45.16666666666666,100.87333333333332,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,420.6666666666667,0.0,71.04666666666667,,67.0,69.0,85.0,68.0,
95,2025-01-29 04:15:00,652.6166666666667,0.0,,45.5,100.38333333333333,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,508.0,0.0,71.02333333333333,,67.0,69.0,85.0,68.0,
96,2025-01-29 04:30:00,646.26,0.0,,45.0,100.64,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,592.6666666666666,0.0,70.97666666666667,,67.0,69.0,85.0,68.0,
97,2025-01-29 04:45:00,650.4966666666667,0.0,,45.66666666666666,100.71666666666664,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,531.6666666666666,0.0,70.95,,67.0,69.0,85.0,68.0,
98,2025-01-29 05:00:00,652.6133333333333,0.0,,45.5,100.47666666666667,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,475.3333333333333,0.0,71.03666666666668,,67.0,69.0,85.0,68.0,
99,2025-01-29 05:15:00,650.4966666666667,0.0,,45.333333333333336,100.16666666666669,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,448.6666666666667,0.0,71.00666666666666,,67.0,69.0,85.0,68.0,
100,2025-01-29 05:30:00,646.2566666666667,0.0,,45.5,100.16666666666669,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,445.6666666666667,0.0,71.06666666666666,,67.0,69.0,85.0,68.0,
101,2025-01-29 05:45:00,645.5533333333333,0.0,,45.5,100.12333333333332,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,429.0,0.0,70.99333333333334,,67.0,69.0,85.0,68.0,
102,2025-01-29 06:00:00,650.4966666666667,0.0,,45.5,99.69666666666669,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,453.0,0.0,71.05,,67.0,69.0,85.0,68.0,
103,2025-01-29 06:15:00,644.8466666666667,0.0,,45.66666666666666,99.82333333333334,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,430.0,0.0,70.95666666666666,,67.0,69.0,85.0,68.0,
104,2025-01-29 06:30:00,651.2033333333334,0.0,,46.0,99.79,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,428.6666666666667,0.0,70.95666666666666,,67.0,69.0,85.0,68.0,
