,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
70,2025-01-28 22:00:00,481.69000000000005,0.0,2.833333333333333,92.57666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.12333333333333,84.0,69.0,78.0,68.0
71,2025-01-28 22:15:00,479.5733333333333,0.0,2.833333333333333,92.44333333333331,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.04,84.0,69.0,78.0,68.0
72,2025-01-28 22:30:00,483.8066666666667,0.0,3.0,92.35666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.95333333333333,84.0,69.0,78.0,68.0
73,2025-01-28 22:45:00,480.9866666666667,0.0,3.0,92.2,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.92333333333333,84.0,69.0,78.0,68.0
74,2025-01-28 23:00:00,475.3366666666666,0.0,3.0,91.96333333333332,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.07333333333334,84.0,69.0,78.0,68.0
75,2025-01-28 23:15:00,471.8066666666667,0.0,3.333333333333333,91.82,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.99333333333334,84.0,69.0,78.0,68.0
76,2025-01-28 23:30:00,479.5733333333333,0.0,3.5,91.69666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.84666666666668,84.0,69.0,78.0,68.0
77,2025-01-28 23:45:00,475.3333333333333,0.0,3.8333333333333335,91.7,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.13666666666667,84.0,69.0,78.0,68.0
78,2025-01-29 00:00:00,476.04333333333335,0.0,3.5,91.51333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.10666666666667,84.0,69.0,78.0,68.0
79,2025-01-29 00:15:00,480.28,0.0,3.5,91.27333333333333,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.85666666666667,84.0,69.0,78.0,68.0
80,2025-01-29 00:30:00,488.0466666666666,0.0,3.5,91.27,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.81,84.0,69.0,78.0,68.0
81,2025-01-29 00:45:00,482.3966666666667,0.0,3.5,91.15,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.93666666666667,84.0,69.0,78.0,68.0
82,2025-01-29 01:00:00,476.04,0.0,3.5,91.16666666666669,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.75,84.0,69.0,78.0,68.0
83,2025-01-29 01:15:00,482.4,0.0,3.5,91.13,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.64666666666666,84.0,69.0,78.0,68.0
84,2025-01-29 01:30:00,490.1666666666667,0.0,3.6666666666666665,91.20666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.41333333333334,84.0,69.0,78.0,68.0
85,2025-01-29 01:45:00,480.2833333333333,0.0,4.0,91.23666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.35666666666667,84.0,69.0,78.0,68.0
