,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,oppMode
75,2025-01-28 23:15:00,64.27666666666666,0.0,42.0,67.05,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.27666666666666,,67.0,69.0,85.0,55.0,
76,2025-01-28 23:30:00,64.27666666666666,0.0,42.66666666666666,67.66666666666667,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.37,,67.0,69.0,85.0,55.0,
77,2025-01-28 23:45:00,64.98333333333333,0.0,42.66666666666666,67.71333333333334,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.38,,67.0,69.0,85.0,55.0,
78,2025-01-29 00:00:00,62.86333333333334,0.0,43.0,67.70333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.38,,67.0,69.0,85.0,55.0,
79,2025-01-29 00:15:00,64.98333333333333,0.0,42.833333333333336,67.58666666666666,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.37666666666667,,67.0,69.0,85.0,55.0,
80,2025-01-29 00:30:00,64.98333333333333,0.0,43.333333333333336,67.63333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,71.11333333333333,,67.0,69.0,85.0,55.0,
81,2025-01-29 00:45:00,63.56666666666666,0.0,43.16666666666666,67.55666666666666,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.94,,67.0,69.0,85.0,55.0,
82,2025-01-29 01:00:00,64.27666666666666,0.0,43.66666666666666,67.67666666666666,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.82333333333334,,67.0,69.0,85.0,55.0,
83,2025-01-29 01:15:00,64.27333333333333,0.0,44.16666666666666,67.61,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.79666666666667,,67.0,69.0,85.0,55.0,
84,2025-01-29 01:30:00,63.56666666666666,0.0,44.5,67.64333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,0.0,70.72333333333334,,67.0,69.0,85.0,55.0,
